Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
57,8352.000,2180.000,10.400,25.456,3379.200,11756.000,1107.600,71.380,384.000,3144.000,10738.000,74.399
58,8505.600,2224.000,15.600,25.886,3417.600,11880.000,1112.800,72.335,364.800,3192.000,10940.800,75.379
59,8611.200,2264.000,0.000,26.290,3456.000,12048.000,1133.600,73.126,384.000,3228.000,11081.200,76.600
60,8764.800,2288.000,0.000,26.772,3475.200,12184.000,1149.200,74.063,374.400,3272.000,11216.400,77.512
61,8832.000,2344.000,5.200,27.219,3532.800,12324.000,1170.000,74.915,384.000,3336.000,11398.400,78.595
62,9062.400,2368.000,5.200,27.623,3552.000,12460.000,1196.000,75.809,422.400,3360.000,11538.800,79.593
63,9187.200,2408.000,15.600,28.113,3609.600,12576.000,1222.000,76.703,403.200,3404.000,11679.200,80.702
64,9369.600,2460.000,5.200,28.492,3619.200,12684.000,1227.200,77.615,403.200,3468.000,11845.600,81.709
65,9494.400,2464.000,0.000,28.999,3686.400,12820.000,1227.200,78.286,422.400,3492.000,11996.400,82.809
66,9638.400,2512.000,5.200,29.421,3705.600,12956.000,1242.800,79.309,432.000,3548.000,12152.400,83.764
67,9753.600,2564.000,5.200,29.902,3724.800,13104.000,1268.800,80.161,422.400,3576.000,12266.800,84.693
68,9945.600,2576.000,15.600,30.349,3763.200,13244.000,1294.800,81.072,422.400,3636.000,12417.600,85.742
69,10051.200,2620.000,0.000,30.728,3801.600,13368.000,1315.600,81.734,451.200,3688.000,12578.800,86.903
70,10195.200,2660.000,15.600,31.166,3840.000,13496.000,1310.400,82.732,422.400,3704.000,12714.000,87.720
71,10320.000,2688.000,20.800,31.631,3878.400,13624.000,1346.800,83.549,441.600,3768.000,12854.400,88.735
72,10454.400,2712.000,5.200,32.138,3916.800,13744.000,1372.800,84.418,460.800,3780.000,12979.200,89.681
73,10588.800,2784.000,5.200,32.560,3936.000,13860.000,1393.600,85.157,460.800,3840.000,13104.000,90.661
74,10732.800,2812.000,15.600,32.972,3936.000,13992.000,1398.800,86.120,432.000,3892.000,13254.800,91.719
75,10867.200,2832.000,10.400,33.368,3984.000,14132.000,1409.200,86.980,480.000,3920.000,13400.400,92.476
76,10953.600,2880.000,15.600,33.858,4003.200,14228.000,1430.000,87.763,480.000,3956.000,13587.600,93.620
77,11145.600,2920.000,5.200,34.254,4070.400,14336.000,1440.400,88.597,470.400,4020.000,13702.000,94.488
78,11299.200,2940.000,15.600,34.658,4060.800,14496.000,1456.000,89.354,480.000,4048.000,13837.200,95.357
79,11433.600,2980.000,15.600,35.131,4099.200,14600.000,1476.800,90.197,451.200,4088.000,13930.800,96.268
80,11558.400,3024.000,15.600,35.578,4147.200,14720.000,1497.600,90.971,470.400,4104.000,14112.800,97.326
81,11712.000,3056.000,10.400,36.034,4195.200,14868.000,1513.200,91.719,499.200,4156.000,14248.000,98.332
82,11836.800,3100.000,15.600,36.498,4214.400,14976.000,1560.000,92.588,499.200,4204.000,14341.600,99.227
83,11961.600,3132.000,10.400,36.868,4252.800,15092.000,1570.400,93.319,508.800,4224.000,14456.000,100.018
84,12057.600,3144.000,10.400,37.272,4262.400,15180.000,1565.200,94.204,508.800,4288.000,14612.000,101.016
85,12192.000,3196.000,15.600,37.668,4300.800,15332.000,1591.200,94.884,528.000,4316.000,14742.000,101.901
86,12345.600,3240.000,15.600,38.201,4300.800,15432.000,1606.800,95.709,518.400,4348.000,14882.400,102.684
87,12499.200,3260.000,20.800,38.502,4358.400,15572.000,1622.400,96.561,556.800,4400.000,15038.400,103.776
88,12604.800,3308.000,10.400,38.967,4387.200,15680.000,1638.000,97.326,537.600,4436.000,15116.400,104.576
89,12758.400,3340.000,15.600,39.405,4435.200,15796.000,1648.400,97.859,547.200,4480.000,15303.600,105.453
90,12854.400,3376.000,20.800,39.835,4454.400,15924.000,1684.800,98.926,566.400,4524.000,15444.000,106.502
91,13027.200,3400.000,10.400,40.222,4473.600,16004.000,1705.600,99.571,537.600,4556.000,15542.800,107.354
