Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
243,29635.199,7536.000,20.800,96.931,7622.400,28184.000,4061.200,184.599,1152.000,9440.000,30264.000,212.747
244,29798.400,7520.000,31.200,97.275,7641.600,28260.000,4071.600,184.788,1171.200,9456.000,30368.000,213.306
245,29846.400,7552.000,26.000,97.739,7622.400,28312.000,4071.600,185.468,1161.600,9476.000,30409.600,214.002
246,29932.801,7544.000,41.600,98.066,7670.400,28368.000,4097.600,185.803,1190.400,9536.000,30451.199,214.355
247,30019.199,7588.000,36.400,98.255,7699.200,28432.000,4076.800,186.147,1171.200,9552.000,30596.801,214.768
248,30115.199,7624.000,31.200,98.410,7680.000,28452.000,4128.800,186.766,1171.200,9576.000,30622.801,215.533
249,30268.801,7644.000,31.200,98.909,7728.000,28552.000,4118.400,187.007,1190.400,9592.000,30732.000,216.032
250,30364.801,7668.000,31.200,99.141,7708.800,28580.000,4144.400,187.403,1200.000,9636.000,30810.000,216.522
251,30384.000,7696.000,26.000,99.459,7747.200,28684.000,4139.200,187.747,1190.400,9672.000,30882.801,217.030
252,30432.000,7712.000,52.000,99.846,7737.600,28696.000,4180.800,188.237,1190.400,9680.000,30877.600,217.666
253,30604.801,7724.000,26.000,100.078,7756.800,28772.000,4196.400,188.521,1209.600,9712.000,31028.400,218.242
254,30595.199,7736.000,41.600,100.508,7814.400,28836.000,4217.200,189.062,1171.200,9712.000,31122.000,218.741
255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
