timestamp,R,G,B,luminosity
00:10:57.229797,422.399994,112.0,0.0,1.3158
00:10:57.729705,422.399994,112.0,0.0,1.2986
00:10:58.229797,441.600006,120.0,0.0,1.3158
00:10:58.729949,403.200012,112.0,26.0,7.2498
00:10:59.229919,441.600006,1328.0,72.800003,7.2756
00:10:59.730010,441.600006,1328.0,83.199997,7.3272
00:11:00.230194,460.799988,1320.0,83.199997,7.3014
00:11:00.730255,441.600006,1320.0,416.0,5.7104
00:11:01.230346,19.200001,240.0,811.200012,5.762
00:11:01.730438,0.0,240.0,832.0,5.7362
00:11:02.230499,19.200001,240.0,821.599976,5.7448
00:11:02.730590,19.200001,232.0,447.200012,0.0172
00:11:03.230682,0.0,0.0,0.0,0.0
00:11:03.730773,0.0,0.0,0.0,0.0
00:11:04.230865,0.0,0.0,0.0,0.0
00:11:04.730957,0.0,0.0,0.0,1.72
00:11:05.231048,556.799988,144.0,0.0,1.72
00:11:05.731140,576.0,144.0,0.0,1.72
00:11:06.231201,576.0,144.0,0.0,1.7372
00:11:06.731292,576.0,144.0,41.599998,9.0472
00:11:07.231414,537.599976,1624.0,109.199997,9.0128
00:11:07.731475,537.599976,1632.0,104.0,9.0472
00:11:08.231567,537.599976,1632.0,104.0,9.0128
00:11:08.731750,537.599976,1624.0,540.799988,7.396
00:11:09.231719,38.400002,312.0,1045.199951,7.3444
00:11:09.731811,19.200001,304.0,1050.400024,7.3616
00:11:10.231933,19.200001,304.0,1060.800049,7.3788
00:11:10.731964,19.200001,312.0,561.599976,0.0
00:11:11.232055,0.0,0.0,0.0,0.0086
00:11:11.732299,0.0,0.0,0.0,0.0086
00:11:12.232208,0.0,0.0,0.0,0.0172
00:11:12.732299,0.0,0.0,0.0,2.15
00:11:13.232482,710.400024,184.0,0.0,2.15
00:11:13.732482,710.400024,192.0,0.0,2.1242
00:11:14.232574,691.200012,184.0,0.0,2.1328
00:11:14.732727,691.200012,192.0,52.0,10.6468
00:11:15.232727,633.599976,1920.0,124.800003,10.6468
00:11:15.732818,633.599976,1928.0,98.800003,10.6468
00:11:16.233032,633.599976,1916.0,124.800003,10.664
00:11:16.733001,614.400024,1920.0,681.200012,8.9268
00:11:17.233093,38.400002,368.0,1268.800049,8.9526
00:11:17.733367,19.200001,372.0,1279.199951,8.9526
00:11:18.233245,19.200001,368.0,1268.800049,8.9956
00:11:18.733337,19.200001,376.0,676.0,0.0
00:11:19.233489,0.0,0.0,0.0,0.0
00:11:19.733520,0.0,0.0,0.0,0.0
00:11:20.233612,0.0,0.0,0.0,0.0
00:11:20.733703,0.0,0.0,0.0,2.5456
00:11:21.233764,825.599976,224.0,0.0,2.5112
00:11:21.733856,844.799988,216.0,0.0,2.5628
00:11:22.234069,844.799988,216.0,0.0,2.5714
00:11:22.734039,844.799988,224.0,52.0,12.3152
00:11:23.234130,729.599976,2216.0,145.600006,12.2636
00:11:23.734252,710.400024,2212.0,135.199997,12.255
00:11:24.234344,729.599976,2192.0,130.0,12.2808
00:11:24.734436,710.400024,2216.0,790.400024,10.5436
00:11:25.234527,38.400002,440.0,1497.599976,10.5522
00:11:25.734619,57.599998,440.0,1508.0,10.5608
00:11:26.234710,19.200001,440.0,1508.0,10.4834
00:11:26.734802,38.400002,440.0,769.599976,0.0
00:11:27.234893,0.0,0.0,0.0,0.0086
00:11:27.734985,0.0,0.0,0.0,0.0
00:11:28.235076,0.0,0.0,0.0,0.0
00:11:28.735168,0.0,0.0,0.0,3.01
00:11:29.235260,979.200012,264.0,0.0,3.0186
00:11:29.735321,998.400024,264.0,0.0,3.0272
00:11:30.235412,1017.599976,272.0,0.0,3.0272
00:11:30.735504,979.200012,264.0,83.199997,13.975
00:11:31.235534,806.400024,2488.0,161.199997,14.018
00:11:31.735656,825.599976,2496.0,156.0,13.9664
00:11:32.235717,796.799988,2512.0,176.800003,14.0008
00:11:32.735870,806.400024,2488.0,936.0,12.1518
00:11:33.235870,57.599998,512.0,1747.199951,12.1174
00:11:33.735931,57.599998,504.0,1726.400024,12.1174
00:11:34.236022,57.599998,512.0,1736.800049,12.0916
00:11:34.736114,57.599998,512.0,873.599976,0.0
00:11:35.236267,0.0,0.0,0.0,0.0
00:11:35.736267,0.0,0.0,0.0,0.0
00:11:36.236358,0.0,0.0,5.2,0.0172
00:11:36.736602,0.0,0.0,0.0,3.4228
00:11:37.236541,1152.0,304.0,0.0,3.397
00:11:37.736633,1152.0,296.0,0.0,3.4142
00:11:38.236785,1152.0,304.0,0.0,3.4572
00:11:38.736785,1152.0,304.0,93.599998,15.5574
00:11:39.236877,892.799988,2760.0,176.800003,15.566
00:11:39.737121,883.200012,2760.0,176.800003,15.566
00:11:40.237060,902.400024,2768.0,187.199997,15.5316
00:11:40.737152,902.400024,2776.0,1086.800049,13.7428
00:11:41.237335,76.800003,576.0,1955.199951,13.7084
00:11:41.737304,38.400002,584.0,1955.199951,13.6912
00:11:42.237365,57.599998,576.0,1944.800049,13.674
00:11:42.737579,38.400002,576.0,977.599976,0.0
00:11:43.237579,0.0,0.0,0.0,0.0086
00:11:43.737640,0.0,0.0,0.0,0.0
00:11:44.237823,0.0,0.0,0.0,0.0
00:11:44.737792,0.0,0.0,0.0,3.913
00:11:45.237884,1305.599976,340.0,0.0,3.8958
00:11:45.738037,1305.599976,336.0,0.0,3.913
00:11:46.238037,1286.400024,344.0,0.0,3.87
00:11:46.738128,1286.400024,352.0,109.199997,17.0194
00:11:47.238250,979.200012,3040.0,208.0,17.0452
00:11:47.738311,960.0,3024.0,213.199997,17.079599
00:11:48.238403,960.0,3024.0,197.600006,17.010799
00:11:48.738586,979.200012,3016.0,1216.800049,15.2564
00:11:49.238555,57.599998,632.0,2173.600098,15.2908
00:11:49.738647,38.400002,636.0,2184.0,15.2908
00:11:50.238830,76.800003,632.0,2173.600098,15.2392
00:11:50.738891,76.800003,640.0,1050.400024,0.0
00:11:51.238983,0.0,0.0,0.0,0.0
00:11:51.739074,0.0,0.0,0.0,0.0
00:11:52.239135,0.0,0.0,0.0,0.0
00:11:52.739227,0.0,0.0,0.0,4.3086
00:11:53.239318,1459.199951,384.0,0.0,4.3258
00:11:53.739410,1440.0,376.0,0.0,4.3516
00:11:54.239501,1459.199951,384.0,0.0,4.3602
00:11:54.739562,1440.0,384.0,114.400002,18.5502
00:11:55.239654,1017.599976,3280.0,218.399994,18.593201
00:11:55.739746,1056.0,3296.0,228.800003,18.5502
00:11:56.239807,1056.0,3300.0,228.800003,18.5072
00:11:56.739898,1036.800049,3288.0,1362.400024,16.804399
00:11:57.240020,57.599998,704.0,2402.399902,16.856001
00:11:57.740051,86.400002,712.0,2397.199951,16.77
00:11:58.240142,76.800003,704.0,2402.399902,16.7356
00:11:58.740234,76.800003,700.0,1133.599976,0.0
00:11:59.240325,0.0,0.0,0.0,0.0
00:11:59.740417,0.0,0.0,0.0,0.0
00:12:00.240570,0.0,0.0,0.0,0.0
00:12:00.740600,0.0,0.0,0.0,4.773
00:12:01.240692,1593.599976,424.0,0.0,4.7386
00:12:01.740936,1593.599976,416.0,0.0,4.7472
00:12:02.240875,1593.599976,416.0,0.0,4.7816
00:12:02.740966,1593.599976,424.0,124.800003,20.038
00:12:03.241119,1113.599976,3548.0,249.600006,20.0208
00:12:03.741149,1132.800049,3536.0,249.600006,20.003599
00:12:04.241241,1113.599976,3536.0,234.0,19.995001
00:12:04.741424,1132.800049,3524.0,1518.400024,18.2836
00:12:05.241424,76.800003,768.0,2620.800049,18.232
00:12:05.741516,96.0,784.0,2610.399902,18.249201
00:12:06.241668,76.800003,768.0,2620.800049,18.266399
00:12:06.741699,67.199997,756.0,1216.800049,0.0172
00:12:07.241790,0.0,0.0,0.0,0.0
00:12:07.741973,0.0,0.0,0.0,0.0
00:12:08.241943,0.0,0.0,0.0,0.0
00:12:08.742034,0.0,0.0,0.0,5.2288
00:12:09.242126,1728.0,448.0,0.0,5.2202
00:12:09.742248,1728.0,456.0,0.0,5.246
00:12:10.242279,1737.599976,464.0,0.0,5.1858
00:12:10.742431,1728.0,456.0,145.600006,21.396799
00:12:11.242462,1190.400024,3776.0,260.0,21.396799
00:12:11.742553,1190.400024,3800.0,260.0,21.4312
00:12:12.242675,1209.599976,3784.0,270.399994,21.4484
00:12:12.742797,1209.599976,3792.0,1679.599976,19.7714
00:12:13.242889,96.0,840.0,2808.0,19.7628
00:12:13.742980,76.800003,832.0,2839.199951,19.711201
00:12:14.243041,76.800003,832.0,2808.0,19.7628
00:12:14.743133,76.800003,848.0,1248.0,0.0
00:12:15.243225,0.0,0.0,0.0,0.0
00:12:15.743316,0.0,0.0,0.0,0.0
00:12:16.243408,0.0,0.0,0.0,0.0
00:12:16.743499,0.0,0.0,0.0,5.676
00:12:17.243591,1862.400024,496.0,0.0,5.6588
00:12:17.743682,1881.599976,496.0,0.0,5.6588
00:12:18.243774,1881.599976,492.0,0.0,5.6158
00:12:18.743865,1881.599976,496.0,156.0,22.7556
00:12:19.243957,1267.199951,4008.0,280.799988,22.8244
00:12:19.744018,1248.0,4016.0,280.799988,22.8416
00:12:20.244110,1267.199951,4012.0,280.799988,22.798599
00:12:20.744262,1267.199951,4032.0,1814.800049,21.1646
00:12:21.244262,76.800003,896.0,3047.199951,21.2076
00:12:21.744354,115.199997,888.0,3036.800049,21.190399
00:12:22.244506,96.0,896.0,3036.800049,21.2076
00:12:22.744506,96.0,888.0,1341.599976,0.0
00:12:23.244598,0.0,0.0,0.0,0.0
00:12:23.744781,0.0,0.0,0.0,0.0
