Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
52,7632.0,2008.0,0.0,23.1856,3187.199951,11040.0,1008.799988,66.598396,326.399994,2920.0,10025.599609,69.126801
53,7795.200195,2024.0,10.4,23.6672,3225.600098,11188.0,1019.200012,67.5186,345.600006,2968.0,10192.0,70.244797
54,7929.600098,2064.0,5.2,24.105801,3244.800049,11316.0,1050.400024,68.447403,364.799988,2996.0,10337.599609,71.199402
55,8064.0,2128.0,15.6,24.5874,3292.800049,11464.0,1071.199951,69.350403,364.799988,3056.0,10420.799805,72.317398
56,8217.599609,2148.0,5.2,25.008801,3360.0,11596.0,1092.0,70.459801,345.600006,3104.0,10613.200195,73.358002
57,8352.0,2180.0,10.4,25.455999,3379.199951,11756.0,1107.599976,71.379997,384.0,3144.0,10738.0,74.398598
58,8505.599609,2224.0,15.6,25.886,3417.600098,11880.0,1112.800049,72.334602,364.799988,3192.0,10940.799805,75.378998
59,8611.200195,2264.0,0.0,26.290199,3456.0,12048.0,1133.599976,73.125801,384.0,3228.0,11081.200195,76.600197
60,8764.799805,2288.0,0.0,26.771799,3475.199951,12184.0,1149.199951,74.063202,374.399994,3272.0,11216.400391,77.511803
61,8832.0,2344.0,5.2,27.219,3532.800049,12324.0,1170.0,74.914597,384.0,3336.0,11398.400391,78.595398
62,9062.400391,2368.0,5.2,27.623199,3552.0,12460.0,1196.0,75.808998,422.399994,3360.0,11538.799805,79.593002
63,9187.200195,2408.0,15.6,28.1134,3609.600098,12576.0,1222.0,76.7034,403.200012,3404.0,11679.200195,80.7024
64,9369.599609,2460.0,5.2,28.4918,3619.199951,12684.0,1227.199951,77.614998,403.200012,3468.0,11845.599609,81.708603
65,9494.400391,2464.0,0.0,28.999201,3686.399902,12820.0,1227.199951,78.285797,422.399994,3492.0,11996.400391,82.809402
66,9638.400391,2512.0,5.2,29.420601,3705.600098,12956.0,1242.800049,79.309196,432.0,3548.0,12152.400391,83.764
67,9753.599609,2564.0,5.2,29.902201,3724.800049,13104.0,1268.800049,80.160599,422.399994,3576.0,12266.799805,84.692802
68,9945.599609,2576.0,15.6,30.3494,3763.199951,13244.0,1294.800049,81.072197,422.399994,3636.0,12417.599609,85.741997
69,10051.200195,2620.0,0.0,30.7278,3801.600098,13368.0,1315.599976,81.734398,451.200012,3688.0,12578.799805,86.903
70,10195.200195,2660.0,15.6,31.166401,3840.0,13496.0,1310.400024,82.732002,422.399994,3704.0,12714.0,87.720001
71,10320.0,2688.0,20.799999,31.6308,3878.399902,13624.0,1346.800049,83.549004,441.600006,3768.0,12854.400391,88.734802
72,10454.400391,2712.0,5.2,32.138199,3916.800049,13744.0,1372.800049,84.417603,460.799988,3780.0,12979.200195,89.680801
73,10588.799805,2784.0,5.2,32.559601,3936.0,13860.0,1393.599976,85.157204,460.799988,3840.0,13104.0,90.661201
74,10732.799805,2812.0,15.6,32.972401,3936.0,13992.0,1398.800049,86.120399,432.0,3892.0,13254.799805,91.719002
75,10867.200195,2832.0,10.4,33.368,3984.0,14132.0,1409.199951,86.9804,480.0,3920.0,13400.400391,92.4758
76,10953.599609,2880.0,15.6,33.8582,4003.199951,14228.0,1430.0,87.763,480.0,3956.0,13587.599609,93.619598
77,11145.599609,2920.0,5.2,34.253799,4070.399902,14336.0,1440.400024,88.597198,470.399994,4020.0,13702.0,94.488197
78,11299.200195,2940.0,15.6,34.658001,4060.800049,14496.0,1456.0,89.353996,480.0,4048.0,13837.200195,95.356796
79,11433.599609,2980.0,15.6,35.131001,4099.200195,14600.0,1476.800049,90.1968,451.200012,4088.0,13930.799805,96.268402
80,11558.400391,3024.0,15.6,35.578201,4147.200195,14720.0,1497.599976,90.970802,470.399994,4104.0,14112.799805,97.326202
81,11712.0,3056.0,10.4,36.034,4195.200195,14868.0,1513.199951,91.719002,499.200012,4156.0,14248.0,98.332397
82,11836.799805,3100.0,15.6,36.498402,4214.399902,14976.0,1560.0,92.587601,499.200012,4204.0,14341.599609,99.226799
83,11961.599609,3132.0,10.4,36.868198,4252.799805,15092.0,1570.400024,93.318604,508.799988,4224.0,14456.0,100.017998
84,12057.599609,3144.0,10.4,37.2724,4262.399902,15180.0,1565.199951,94.204399,508.799988,4288.0,14612.0,101.015602
85,12192.0,3196.0,15.6,37.667999,4300.799805,15332.0,1591.199951,94.883797,528.0,4316.0,14742.0,101.901398
86,12345.599609,3240.0,15.6,38.201199,4300.799805,15432.0,1606.800049,95.709396,518.400024,4348.0,14882.400391,102.683998
87,12499.200195,3260.0,20.799999,38.502201,4358.399902,15572.0,1622.400024,96.560799,556.799988,4400.0,15038.400391,103.776199
88,12604.799805,3308.0,10.4,38.966599,4387.200195,15680.0,1638.0,97.326202,537.599976,4436.0,15116.400391,104.575996
89,12758.400391,3340.0,15.6,39.405201,4435.200195,15796.0,1648.400024,97.859398,547.200012,4480.0,15303.599609,105.453201
90,12854.400391,3376.0,20.799999,39.835201,4454.399902,15924.0,1684.800049,98.925797,566.400024,4524.0,15444.0,106.502403
91,13027.200195,3400.0,10.4,40.222198,4473.600098,16004.0,1705.599976,99.570801,537.599976,4556.0,15542.799805,107.353798
92,13190.400391,3440.0,20.799999,40.6436,4473.600098,16172.0,1731.599976,100.353401,556.799988,4604.0,15667.599609,108.256798
93,13315.200195,3480.0,10.4,40.987598,4531.200195,16272.0,1721.199951,101.136002,556.799988,4636.0,15823.599609,109.091003
94,13440.0,3504.0,20.799999,41.452,4531.200195,16368.0,1726.400024,101.823997,556.799988,4656.0,15932.799805,109.994003
95,13488.0,3540.0,20.799999,41.839001,4569.600098,16444.0,1752.400024,102.546402,576.0,4712.0,15995.200195,110.467003
96,13660.799805,3564.0,10.4,42.200199,4598.399902,16580.0,1768.0,103.397797,576.0,4752.0,16156.400391,111.447403
97,13785.599609,3604.0,10.4,42.7248,4646.399902,16660.0,1799.199951,104.077202,566.400024,4780.0,16270.799805,112.419197
98,13891.200195,3632.0,20.799999,43.120399,4627.200195,16800.0,1814.800049,104.6362,576.0,4820.0,16432.0,113.485603
99,14073.599609,3688.0,15.6,43.584801,4665.600098,16904.0,1804.400024,105.582199,576.0,4852.0,16504.800781,114.242401
100,14208.0,3708.0,5.2,44.006199,4742.399902,17016.0,1851.199951,106.175598,595.200012,4896.0,16686.800781,114.990601
101,14265.599609,3736.0,15.6,44.375999,4752.0,17108.0,1866.800049,106.906601,595.200012,4940.0,16806.400391,115.8936
102,14486.400391,3764.0,31.200001,44.771599,4800.0,17236.0,1882.400024,107.740799,595.200012,4968.0,16941.599609,116.813797
103,14582.400391,3812.0,20.799999,45.253201,4800.0,17308.0,1898.0,108.377197,614.400024,4996.0,17056.0,117.518997
104,14659.200195,3828.0,31.200001,45.580002,4848.0,17404.0,1924.0,109.151199,604.799988,5012.0,17165.199219,118.353203
105,14851.200195,3876.0,15.6,46.053001,4876.799805,17524.0,1924.0,110.002602,595.200012,5064.0,17284.800781,119.170197
106,14899.200195,3892.0,15.6,46.508801,4896.0,17620.0,1944.800049,110.4842,633.599976,5104.0,17420.0,120.073196
107,15043.200195,3936.0,10.4,46.9044,4867.200195,17748.0,1955.199951,111.404404,624.0,5152.0,17534.400391,121.001999
108,15264.0,3968.0,5.2,47.257,4934.399902,17828.0,1981.199951,112.040802,604.799988,5180.0,17643.599609,121.887802
109,15312.0,3996.0,5.2,47.644001,4963.200195,17912.0,2002.0,112.780403,624.0,5216.0,17763.199219,122.636002
110,15456.0,4028.0,10.4,48.0998,4972.799805,18056.0,2017.599976,113.459801,633.599976,5256.0,17810.0,123.530403
111,15609.599609,4048.0,20.799999,48.486801,5030.399902,18120.0,2028.0,113.941399,643.200012,5280.0,17997.199219,124.183998
112,15744.0,4112.0,20.799999,48.977001,5049.600098,18248.0,2043.599976,114.698196,624.0,5332.0,18127.199219,125.095596
113,15868.799805,4132.0,5.2,49.407001,5078.399902,18364.0,2069.600098,115.489403,643.200012,5356.0,18200.0,125.886803
114,15984.0,4156.0,31.200001,49.793999,5107.200195,18468.0,2085.199951,116.151604,643.200012,5400.0,18330.0,126.652199
115,16166.400391,4188.0,26.0,50.223999,5145.600098,18556.0,2095.600098,116.8396,633.599976,5436.0,18475.599609,127.538002
116,16272.0,4240.0,20.799999,50.679798,5145.600098,18668.0,2116.399902,117.527603,662.400024,5460.0,18569.199219,128.208801
117,16377.599609,4260.0,20.799999,51.0238,5184.0,18752.0,2126.800049,118.275803,681.599976,5520.0,18683.599609,129.008606
118,16425.599609,4292.0,15.6,51.428001,5203.200195,18876.0,2137.199951,118.723,662.400024,5524.0,18735.599609,130.0578
119,16560.0,4316.0,20.799999,51.771999,5193.600098,18928.0,2163.199951,119.540001,681.599976,5572.0,18907.199219,130.677002
120,16713.599609,4352.0,20.799999,52.244999,5222.399902,19036.0,2184.0,120.038803,662.400024,5604.0,18990.400391,131.476807
121,16857.599609,4356.0,20.799999,52.563202,5260.799805,19128.0,2194.399902,120.666603,681.599976,5628.0,19130.800781,132.164795
122,17001.599609,4412.0,15.6,53.001801,5241.600098,19208.0,2204.800049,121.535202,710.400024,5676.0,19250.400391,133.102203
123,17088.0,4432.0,20.799999,53.449001,5270.399902,19356.0,2236.0,122.077003,672.0,5712.0,19364.800781,133.841797
124,17251.199219,4488.0,20.799999,53.879002,5299.200195,19408.0,2236.0,122.722,700.799988,5744.0,19401.199219,134.693207
125,17376.0,4512.0,15.6,54.1628,5347.200195,19492.0,2267.199951,123.366997,710.400024,5784.0,19583.199219,135.4328
126,17481.599609,4540.0,5.2,54.678799,5366.399902,19632.0,2262.0,124.106598,700.799988,5824.0,19697.599609,136.241196
127,17558.400391,4584.0,20.799999,55.1432,5366.399902,19720.0,2319.199951,124.820396,729.599976,5852.0,19817.199219,137.058197
128,17769.599609,4600.0,20.799999,55.547401,5414.399902,19772.0,2324.399902,125.181602,720.0,5892.0,19952.400391,137.987
129,17904.0,4632.0,15.6,55.900002,5452.799805,19880.0,2319.199951,125.955597,720.0,5928.0,20040.800781,138.761002
130,18038.400391,4644.0,20.799999,56.312801,5472.0,19956.0,2350.399902,126.721001,739.200012,5964.0,20144.800781,139.474792
131,18115.199219,4692.0,26.0,56.725601,5539.200195,20076.0,2355.600098,127.262802,720.0,5992.0,20311.199219,140.266006
132,18278.400391,4704.0,31.200001,57.078201,5539.200195,20176.0,2360.800049,127.813202,739.200012,6036.0,20410.0,141.272202
133,18326.400391,4752.0,15.6,57.473801,5558.399902,20236.0,2392.0,128.329193,748.799988,6052.0,20493.199219,141.925797
134,18441.599609,4780.0,10.4,57.8092,5577.600098,20340.0,2407.600098,129.171997,729.599976,6092.0,20602.400391,142.648193
135,18576.0,4828.0,10.4,58.273602,5587.200195,20408.0,2428.399902,129.722397,729.599976,6124.0,20711.599609,143.387802
136,18729.599609,4848.0,15.6,58.780998,5625.600098,20520.0,2444.0,130.436203,748.799988,6180.0,20852.0,144.058594
137,18825.599609,4860.0,5.2,59.219601,5644.799805,20608.0,2464.800049,131.012405,748.799988,6192.0,20919.599609,144.953003
138,19008.0,4900.0,20.799999,59.529202,5635.200195,20688.0,2470.0,131.597198,777.599976,6232.0,21080.800781,145.6754
139,19084.800781,4924.0,26.0,59.9076,5683.200195,20768.0,2496.0,132.311005,748.799988,6264.0,21153.599609,146.457993
140,19219.199219,4956.0,15.6,60.3634,5712.0,20872.0,2501.199951,132.930206,768.0,6312.0,21236.800781,147.180405
141,19363.199219,4988.0,26.0,60.638599,5740.799805,20956.0,2522.0,133.377396,777.599976,6356.0,21372.0,148.023193
142,19420.800781,5024.0,20.799999,61.077202,5740.799805,21016.0,2532.399902,134.160004,758.400024,6376.0,21476.0,148.668198
143,19555.199219,5064.0,26.0,61.550201,5731.200195,21128.0,2568.800049,134.753403,777.599976,6416.0,21522.800781,149.382004
144,19670.400391,5080.0,15.6,61.902802,5779.200195,21208.0,2563.600098,135.286606,777.599976,6460.0,21668.400391,150.087204
145,19795.199219,5100.0,26.0,62.264,5779.200195,21312.0,2600.0,135.880005,787.200012,6488.0,21788.0,150.861206
146,19958.400391,5128.0,15.6,62.728401,5846.399902,21396.0,2615.600098,136.344406,796.799988,6500.0,21881.599609,151.463196
147,20016.0,5172.0,20.799999,63.003601,5856.0,21460.0,2626.0,137.049606,796.799988,6556.0,21985.599609,152.331802
148,20102.400391,5176.0,31.200001,63.416401,5865.600098,21552.0,2636.399902,137.643005,816.0,6560.0,22094.800781,153.105804
149,20246.400391,5228.0,31.200001,63.829201,5894.399902,21628.0,2652.0,138.373993,796.799988,6580.0,22198.800781,153.656204
150,20371.199219,5240.0,20.799999,64.216202,5913.600098,21756.0,2662.399902,138.932999,816.0,6644.0,22250.800781,154.490402
151,20486.400391,5268.0,31.200001,64.628998,5904.0,21824.0,2657.199951,139.388794,816.0,6668.0,22401.599609,155.333206
152,20620.800781,5312.0,31.200001,64.981598,5952.0,21872.0,2704.0,139.921997,825.599976,6716.0,22510.800781,155.806198
153,20707.199219,5348.0,31.200001,65.403,6019.200195,21972.0,2714.399902,140.678802,835.200012,6748.0,22594.0,156.477005
154,20841.599609,5356.0,15.6,65.7556,6019.200195,22068.0,2724.800049,141.151794,844.799988,6768.0,22718.800781,157.233795
155,20985.599609,5360.0,26.0,66.125397,6048.0,22164.0,2745.600098,141.917206,835.200012,6808.0,22786.400391,158.102402
156,21043.199219,5416.0,20.799999,66.503799,6086.399902,22256.0,2761.199951,142.441803,816.0,6812.0,22890.400391,158.773193
157,21196.800781,5448.0,20.799999,66.882202,6076.799805,22316.0,2771.600098,142.880402,806.400024,6848.0,23030.800781,159.444
158,21321.599609,5492.0,20.799999,67.166,6115.200195,22420.0,2792.399902,143.6716,835.200012,6908.0,23056.800781,160.175003
159,21427.199219,5512.0,26.0,67.596001,6124.799805,22472.0,2818.399902,144.0242,844.799988,6928.0,23197.199219,160.914597
160,21504.0,5548.0,31.200001,68.077599,6115.200195,22568.0,2839.199951,144.651993,873.599976,6952.0,23254.400391,161.413406
161,21648.0,5564.0,26.0,68.335602,6163.200195,22644.0,2839.199951,145.228195,854.400024,6996.0,23368.800781,162.127197
162,21763.199219,5572.0,31.200001,68.843002,6163.200195,22720.0,2844.399902,145.709793,864.0,7048.0,23446.800781,162.712006
163,21849.599609,5608.0,31.200001,69.230003,6192.0,22744.0,2854.800049,146.406403,854.400024,7052.0,23561.199219,163.666595
164,21964.800781,5628.0,15.6,69.634201,6201.600098,22868.0,2896.399902,146.896606,854.400024,7112.0,23675.599609,164.242798
165,22108.800781,5676.0,31.200001,69.883598,6249.600098,22976.0,2891.199951,147.472794,883.200012,7128.0,23748.400391,165.042603
166,22156.800781,5680.0,20.799999,70.262001,6268.799805,23044.0,2927.600098,148.023193,854.400024,7148.0,23852.400391,165.679001
167,22272.0,5732.0,31.200001,70.743599,6288.0,23144.0,2922.399902,148.651001,883.200012,7188.0,23940.800781,166.349792
168,22416.0,5752.0,36.400002,71.122002,6297.600098,23168.0,2943.199951,149.132599,873.599976,7216.0,24003.199219,166.805603
169,22502.400391,5764.0,20.799999,71.466003,6307.200195,23292.0,2979.600098,149.605606,892.799988,7276.0,24128.0,167.699997
170,22550.400391,5796.0,15.6,71.723999,6307.200195,23324.0,2984.800049,150.233398,873.599976,7276.0,24268.400391,168.224594
171,22752.0,5800.0,26.0,71.982002,6374.399902,23440.0,3005.600098,150.938599,912.0,7308.0,24351.599609,169.033005
172,22800.0,5844.0,36.400002,72.472198,6364.799805,23476.0,3021.199951,151.179398,892.799988,7364.0,24450.400391,169.617798
173,22924.800781,5868.0,26.0,72.807602,6374.399902,23576.0,3016.0,151.643799,912.0,7400.0,24476.400391,170.400406
174,23040.0,5904.0,15.6,73.246201,6422.399902,23696.0,3036.800049,152.357605,883.200012,7380.0,24648.0,170.976593
175,23059.199219,5932.0,20.799999,73.633202,6432.0,23688.0,3042.0,152.684402,902.400024,7432.0,24694.800781,171.613007
176,23232.0,5952.0,31.200001,74.020203,6451.200195,23764.0,3073.199951,153.329407,902.400024,7468.0,24814.400391,172.214996
177,23347.199219,5972.0,41.599998,74.304001,6499.200195,23844.0,3073.199951,153.931396,902.400024,7524.0,24908.0,172.911606
178,23462.400391,6012.0,26.0,74.613602,6499.200195,23952.0,3109.600098,154.361404,921.599976,7544.0,25032.800781,173.831802
179,23510.400391,6048.0,10.4,75.121002,6508.799805,24012.0,3130.399902,154.860199,883.200012,7580.0,25027.599609,174.485397
180,23664.0,6060.0,26.0,75.4478,6489.600098,24068.0,3140.800049,155.531006,931.200012,7600.0,25194.0,175.0186
181,23817.599609,6096.0,36.400002,75.748802,6556.799805,24196.0,3135.600098,155.986801,921.599976,7624.0,25225.199219,175.775406
182,23856.0,6104.0,31.200001,76.084198,6518.399902,24252.0,3172.0,156.511398,940.799988,7664.0,25370.800781,176.429001
183,23971.199219,6140.0,20.799999,76.540001,6566.399902,24332.0,3187.600098,157.207993,931.200012,7676.0,25443.599609,176.927795
184,24057.599609,6160.0,31.200001,76.875397,6585.600098,24368.0,3208.399902,157.466003,921.599976,7724.0,25511.199219,177.512604
185,24192.0,6196.0,26.0,77.253799,6604.799805,24436.0,3198.0,158.093796,950.400024,7768.0,25599.599609,178.209198
186,24316.800781,6208.0,15.6,77.726799,6624.0,24548.0,3234.399902,158.532394,988.799988,7776.0,25703.599609,178.768204
187,24403.199219,6224.0,31.200001,77.959,6672.0,24600.0,3234.399902,159.031204,960.0,7812.0,25792.0,179.576599
188,24480.0,6264.0,41.599998,78.320198,6691.200195,24704.0,3255.199951,159.727798,940.799988,7856.0,25880.400391,180.178604
189,24604.800781,6292.0,20.799999,78.750198,6681.600098,24732.0,3281.199951,160.063202,940.799988,7872.0,25948.0,180.901001
190,24748.800781,6332.0,26.0,79.128601,6748.799805,24832.0,3296.800049,160.579193,960.0,7912.0,26098.800781,181.571793
191,24825.599609,6344.0,26.0,79.412399,6720.0,24852.0,3312.399902,160.966202,979.200012,7952.0,26176.800781,182.0448
192,24940.800781,6344.0,52.0,79.773598,6758.399902,24940.0,3317.600098,161.499405,950.400024,7968.0,26213.199219,182.784393
193,25017.599609,6384.0,15.6,80.152,6768.0,25008.0,3317.600098,161.972397,979.200012,8004.0,26312.0,183.532593
194,25113.599609,6412.0,26.0,80.530403,6739.200195,25080.0,3354.0,162.471207,979.200012,8024.0,26405.599609,184.0056
195,25190.400391,6440.0,20.799999,80.848602,6787.200195,25152.0,3364.399902,162.927002,960.0,8076.0,26488.800781,184.736603
196,25363.199219,6460.0,31.200001,81.321602,6835.200195,25240.0,3369.600098,163.313995,979.200012,8080.0,26561.599609,185.519196
197,25478.400391,6504.0,31.200001,81.622597,6854.399902,25300.0,3395.600098,163.744003,988.799988,8136.0,26634.400391,185.802994
198,25536.0,6528.0,36.400002,81.923599,6854.399902,25388.0,3411.199951,164.397598,979.200012,8156.0,26774.800781,186.559799
199,25593.599609,6548.0,31.200001,82.250397,6883.200195,25464.0,3421.600098,164.887802,998.400024,8176.0,26832.0,187.196198
200,25728.0,6560.0,36.400002,82.646004,6892.799805,25488.0,3447.600098,165.283401,998.400024,8200.0,26832.0,187.815399
201,25843.199219,6592.0,41.599998,82.989998,6912.0,25548.0,3437.199951,165.679001,1017.599976,8232.0,26998.400391,188.296997
202,25900.800781,6628.0,36.400002,83.376999,6940.799805,25640.0,3452.800049,166.289597,1008.0,8272.0,27071.199219,189.070999
203,25987.199219,6636.0,26.0,83.738197,6950.399902,25704.0,3468.399902,166.848602,1027.199951,8304.0,27206.400391,189.716003
204,26140.800781,6648.0,26.0,84.0392,6950.399902,25736.0,3489.199951,167.158203,1027.199951,8312.0,27206.400391,190.137405
205,26208.0,6688.0,41.599998,84.331596,7017.600098,25800.0,3489.199951,167.751602,1027.199951,8356.0,27336.400391,190.765198
206,26361.599609,6708.0,31.200001,84.4692,7008.0,25904.0,3520.399902,168.173004,1036.800049,8392.0,27430.0,191.220993
207,26438.400391,6720.0,31.200001,85.071198,7056.0,25944.0,3530.800049,168.637405,988.799988,8420.0,27534.0,191.960602
208,26534.400391,6764.0,36.400002,85.415199,7027.200195,26032.0,3546.399902,169.153397,1056.0,8444.0,27596.400391,192.691605
209,26553.599609,6772.0,36.400002,85.810799,7056.0,26136.0,3567.199951,169.514603,1065.599976,8488.0,27690.0,193.310806
210,26745.599609,6800.0,26.0,86.2752,7075.200195,26140.0,3572.399902,170.151001,1046.400024,8488.0,27762.800781,193.886993
211,26793.599609,6824.0,31.200001,86.481598,7065.600098,26196.0,3598.399902,170.623993,1046.400024,8536.0,27835.599609,194.506195
212,26870.400391,6864.0,20.799999,86.7826,7104.0,26268.0,3598.399902,171.122803,1056.0,8568.0,27955.199219,195.082397
213,27043.199219,6880.0,20.799999,87.117996,7123.200195,26352.0,3634.800049,171.535599,1056.0,8588.0,27939.599609,195.649994
214,27033.599609,6900.0,31.200001,87.5308,7161.600098,26436.0,3593.199951,171.948395,1036.800049,8624.0,28085.199219,196.234802
215,27225.599609,6916.0,26.0,87.737198,7161.600098,26472.0,3666.0,172.421402,1056.0,8640.0,28173.599609,196.664795
216,27225.599609,6928.0,20.799999,88.0812,7161.600098,26560.0,3655.600098,172.903,1056.0,8640.0,28210.0,197.593597
217,27360.0,6960.0,36.400002,88.4338,7209.600098,26592.0,3645.199951,173.350204,1056.0,8712.0,28324.400391,198.066605
