timestamp,Current_R,Current_G,Current_B,R,G,B,luminosity
00:14:45.768951,0,0,31,230.399994,1896.0,6500.0,44.917801
00:14:49.769683,32,0,0,4684.799805,1232.0,0.0,14.1298
00:14:51.770019,0,32,0,2323.199951,7808.0,639.599976,46.096001
00:14:53.770324,0,0,32,230.399994,1940.0,6650.799805,46.285198
00:14:57.770965,33,0,0,4780.799805,1272.0,5.2,14.7146
00:14:59.771392,0,33,0,2361.600098,8016.0,660.400024,47.342999
00:15:01.771606,0,0,33,249.600006,1984.0,6874.399902,47.523602
00:15:05.772338,34,0,0,4992.0,1320.0,0.0,15.093
00:15:07.772552,0,34,0,2438.399902,8208.0,686.400024,48.4352
00:15:09.772918,0,0,34,211.199997,2048.0,7025.200195,48.684601
00:15:13.773681,35,0,0,5145.600098,1368.0,5.2,15.5832
00:15:15.774047,0,35,0,2467.199951,8356.0,696.799988,49.493
00:15:17.774383,0,0,35,249.600006,2088.0,7217.600098,49.948799
00:15:21.775207,36,0,0,5260.799805,1400.0,5.2,16.021799
00:15:23.775390,0,36,0,2496.0,8528.0,728.0,50.559399
00:15:25.775756,0,0,36,249.600006,2152.0,7373.600098,51.144199
00:15:29.776397,37,0,0,5395.200195,1424.0,5.2,16.469
00:15:31.776763,0,37,0,2572.800049,8696.0,738.400024,51.643002
00:15:33.777099,0,0,37,268.799988,2200.0,7586.799805,52.2192
00:15:37.777801,38,0,0,5568.0,1472.0,0.0,16.9592
00:15:39.778076,0,38,0,2592.0,8880.0,759.200012,52.683601
00:15:41.778411,0,0,38,249.600006,2256.0,7716.799805,53.3974
00:15:45.779052,39,0,0,5702.399902,1504.0,5.2,17.3806
00:15:47.779388,0,39,0,2649.600098,9024.0,748.799988,53.7672
00:15:49.779754,0,0,39,268.799988,2304.0,7898.799805,54.610001
00:15:53.780426,40,0,0,5875.200195,1552.0,10.4,17.802
00:15:55.780792,0,40,0,2707.199951,9196.0,800.799988,54.738998
00:15:57.781097,0,0,40,268.799988,2348.0,8034.0,55.822601
00:16:01.781738,41,0,0,6028.799805,1584.0,15.6,18.3008
00:16:03.782012,0,41,0,2745.600098,9368.0,811.200012,55.762402
00:16:05.782348,0,0,41,268.799988,2376.0,8236.799805,56.9664
00:16:09.782989,42,0,0,6163.200195,1616.0,0.0,18.7738
00:16:11.783355,0,42,0,2784.0,9520.0,826.799988,56.785801
00:16:13.783691,0,0,42,307.200012,2448.0,8398.0,58.1618
00:16:17.784484,43,0,0,6316.799805,1664.0,10.4,19.177999
00:16:19.784698,0,43,0,2822.399902,9672.0,847.599976,57.8092
00:16:21.785034,0,0,43,307.200012,2504.0,8580.0,59.2798
00:16:25.785644,44,0,0,6470.399902,1696.0,5.2,19.6768
00:16:27.786010,0,44,0,2860.800049,9816.0,868.400024,58.8498
00:16:29.786346,0,0,44,288.0,2544.0,8725.599609,60.3032
00:16:33.787017,45,0,0,6624.0,1744.0,5.2,20.0982
00:16:35.787322,0,45,0,2918.399902,9976.0,889.200012,59.847401
00:16:37.787689,0,0,45,326.399994,2584.0,8892.0,61.429798
00:16:41.788391,46,0,0,6758.399902,1784.0,20.799999,20.4594
00:16:43.788696,0,46,0,2956.800049,10152.0,899.599976,60.913799
00:16:45.789184,0,0,46,326.399994,2628.0,9032.400391,62.590801
00:16:49.789733,47,0,0,6912.0,1812.0,10.4,21.0012
00:16:51.790100,0,47,0,2976.0,10296.0,930.799988,61.7136
00:16:53.790435,0,0,47,326.399994,2668.0,9214.400391,63.691601
00:16:57.791137,48,0,0,7008.0,1836.0,10.4,21.371
00:16:59.791473,0,48,0,3014.399902,10448.0,946.400024,62.7714
00:17:01.791778,0,0,48,326.399994,2728.0,9386.0,64.723602
